id_producto,descripcion,rubro_ipc,n_cadenas,n_prov,n_suc,cantidad_01,cantidad_02,cantidad_03,cantidad_04
7790387013610,Yerba Mate con Palo 4Flex Taragui 1 Kg,Infusiones,5,24,2298,0.0,0.0,2.0,0.0
7793704000928,Yerba Suave Playadito 1 Kg,Infusiones,5,24,2426,0.0,2.0,0.0,0.0
7790787153664,Dulce de Leche Clásico Ilolay 400 Gr,Lacteos y derivados,5,24,2204,1.0,0.0,0.0,0.0
7790742625304,Dulce de Leche Clásico La Serenísima 400 Gr,Lacteos y derivados,5,24,2488,0.0,1.0,0.0,0.0
7790742067005,Dulce de Leche Repostero La Serenísima 400 Gr,Lacteos y derivados,5,24,2466,0.0,0.0,2.0,0.0
7790742335500,Leche Entera 3% Uat La Serenísima 1 Lt,Lacteos y derivados,5,24,2236,0.0,30.0,30.0,0.0
7798338290028,Leche Entera Larga Vida Tradición Tres Niñas 1 Lt,Lacteos y derivados,5,24,2324,24.0,0.0,0.0,0.0
7798060850026,Manteca Calidad Extra Tonadita 200 Gr,Lacteos y derivados,5,24,2478,1.0,0.0,0.0,0.0
7793940054006,Manteca La Serenísima 200 Gr,Lacteos y derivados,5,24,2483,0.0,2.0,2.0,0.0
7790398100132,Queso Rallado La Paulina 150 Gr,Lacteos y derivados,5,24,2106,0.0,1.0,0.0,0.0
7790742222909,Queso Rallado La Serenisima 35 Gr,Lacteos y derivados,5,24,2194,0.0,0.0,2.0,0.0
7790742373809,Queso Untable Cremón Light La Serenísima 280 Gr,Lacteos y derivados,5,24,2294,0.0,0.0,3.0,0.0
7798060852990,Queso Untable Jamón Tonadita 180 Gr,Lacteos y derivados,5,24,2320,2.0,0.0,0.0,0.0
7791337061439,Queso Untable Light La Serenisima 290 Gr,Lacteos y derivados,5,24,2325,0.0,2.0,0.0,0.0
7791337008694,Yogur Bebible Frutilla Danonino 185 Gr,Lacteos y derivados,5,24,2428,0.0,0.0,8.0,0.0
7791337009387,Yogur Bebible Sabor Frutilla Yogurísimo 190 Gr,Lacteos y derivados,5,24,2409,0.0,6.0,0.0,0.0
7793913013535,Yogur Parcialmente Descremado Vainilla Tregar 125 Gr,Lacteos y derivados,5,24,2432,4.0,0.0,0.0,0.0
7790990003039,Detergente Limón Magistral 20 Un 500 Ml,Limpieza del hogar,5,24,2478,0.0,2.0,0.0,0.0
7791290794054,Detergente Líquido Bioactive Limón Cif 300 Ml,Limpieza del hogar,5,24,2656,1.0,0.0,2.0,0.0
7791290792814,Jabón Líquido para Ropa Bio Encimas Skip 800 Ml,Limpieza del hogar,5,24,2645,0.0,1.0,2.0,0.0
7791290792036,Jabón Líquido para Ropa Eco Lavado Doypack Ala Matic 3 Lt,Limpieza del hogar,5,24,2282,1.0,0.0,0.0,0.0
7790132098459,Lavandina Concentrada Ayudín 1 Lt,Limpieza del hogar,5,24,2480,2.0,2.0,2.0,0.0
7791120031557,Arroz Largo Fino 00000 Molinos Ala 1 Kg,Pan y cereales,5,24,2423,3.0,0.0,3.0,0.0
7790070431417,Arroz Parboil Bolsa Gallo Oro 1 Kg,Pan y cereales,5,24,2310,0.0,3.0,0.0,0.0
7790070336545,Fideos Fetuccini Don Vicente 500 Gr,Pan y cereales,5,24,2480,0.0,0.0,8.0,0.0
7790070336385,Fideos Spaghetti N7 Lucchetti 500 Gr,Pan y cereales,5,24,2480,6.0,0.0,0.0,0.0
7790070336293,Fideos Tirabuzón N28 Matarazzo 500 Gr,Pan y cereales,5,24,2479,0.0,6.0,0.0,0.0
7790040143524,Galletitas Rumba Bagley 330 Gr,Pan y cereales,5,24,2459,0.0,0.0,5.0,0.0
7622201735906,Galletitas con Chips Chocolate Pepitos 119 Gr,Pan y cereales,5,24,2482,3.0,4.0,0.0,0.0
7792180139320,Harina 000 Fortificada con Calcio Cañuelas 1 Kg,Pan y cereales,5,24,2408,3.0,0.0,0.0,0.0
7790070562258,Harina 000 con Vitamina Zinc Favorita 1 Kg,Pan y cereales,5,24,2464,0.0,2.0,0.0,0.0
7790070562265,Harina 0000 con Vitamina Zinc Favorita 1 Kg,Pan y cereales,5,24,2425,0.0,0.0,2.0,0.0
7793890258783,Pan con Salvado Lactal 560 Gr,Pan y cereales,4,23,2170,0.0,0.0,4.0,0.0
7793890258769,Pan de Mesa Blanco Chico Lactal 315 Gr,Pan y cereales,4,23,2177,0.0,3.0,0.0,0.0
7796962987321,Aire Acondicionado Philco Split 3200W Frio Calor Cl. A Phs32Ha4Cn Philco,Tecnologia,5,24,296,0.0,0.0,0.0,1.0
6932554416638,Celular 14C 4Gb/128Gb Starry Blue Azul Redmi Xiaomi 1 Un,Tecnologia,4,24,354,0.0,0.0,0.0,1.0
7796885063874,Heladera Brs400i1a 397l Bgh 1 Un,Tecnologia,4,24,178,0.0,0.0,0.0,1.0
7796885495194,Hornos Microondas 20Lt Blanco 700 W Bgh 1 Un,Tecnologia,5,24,322,0.0,0.0,0.0,1.0
8806094365573,Lavarropas Frontal Inventer WW65A4000EEU Blanco 6.5 Kg Samsung 1 Un,Tecnologia,4,24,254,0.0,0.0,0.0,1.0
0196802082679,Notebook 14 Celn4120 4/128 Gb 82V Lenovo 1 Un,Tecnologia,4,22,176,0.0,0.0,0.0,1.0
7790653062106,Televisión 43 Ur8750Psb Smart 4K Bt Hdr Usb Lg 1 Un,Tecnologia,4,24,285,0.0,0.0,0.0,1.0
