ean,desc,marca,rubro,cat,slot,cad,prov,suc,precio,Popular,Media,Ejecutiva,Tecnológica,Representativa,Femenina
0000077940131,Turrón Arcor 25 Gr,Arcor,Almacén,Golosinas,Turron/barra cereal,5,24,1354,450.0,2.0,1.0,0.0,0.0,1.0,0.0
7792180139320,Harina 000 Fortificada con Calcio Cañuelas 1 Kg,Cañuelas,Almacén,Harinas,Harina 000,5,24,2408,995.0,3.0,0.0,0.0,0.0,0.0,0.0
7790070562258,Harina 000 con Vitamina Zinc Favorita 1 Kg,Favorita,Almacén,Harinas,Harina 000,5,24,2464,1188.0,0.0,2.0,0.0,0.0,2.0,0.0
7790070562265,Harina 0000 con Vitamina Zinc Favorita 1 Kg,Favorita,Almacén,Harinas,Harina 000,5,24,2425,1640.0,0.0,0.0,2.0,0.0,0.0,0.0
7790070562180,Harina Leudante Blancaflor 1 Kg,Blancaflor,Almacén,Harinas,Harina leudante,5,24,2481,2224.53125,0.0,1.0,1.0,0.0,1.0,0.0
7790580138721,Polenta Prestopronta 730 Gr,Prestopronta,Almacén,Harinas,Polenta,5,24,2375,2480.0,2.0,1.0,0.0,0.0,1.0,0.0
8445291121881,Cacao Paquete Nesquik 360 Gr,Nesquik,Almacén,Infusiones,Cacao,5,24,2451,5076.857421875,1.0,1.0,1.0,0.0,1.0,0.0
7790070933638,Café Instantáneo Suave Extra Aroma Arlistán 170 Gr,Arlistán,Almacén,Infusiones,Cafe instantaneo,5,24,2278,8863.845703125,1.0,0.0,0.0,0.0,1.0,0.0
8445291082137,Café Instantáneo Suave Origen Dolca 170 Gr,Dolca,Almacén,Infusiones,Cafe instantaneo,5,24,2454,10307.333984375,0.0,0.0,1.0,0.0,0.0,0.0
7790550000157,Café Molido Torrado en Bolsa Cabrales 250 Gr,Cabrales,Almacén,Infusiones,Cafe molido,5,24,2482,7410.0,0.0,1.0,1.0,0.0,1.0,0.0
7790150355084,Té Verde en Saquitos La Virginia 20 Un,La Virginia,Almacén,Infusiones,Te,5,24,2446,1744.0,0.0,0.0,1.0,0.0,0.0,0.0
7790480008261,Té en Saquitos Green Hills 50 Un,Green Hills,Almacén,Infusiones,Te,5,24,2455,2827.0,0.0,1.0,0.0,0.0,1.0,0.0
7790710334573,Yerba Hierbas Serranas Cbsé 1 Kg,Cbsé,Almacén,Infusiones,Yerba mate,5,24,2430,4942.5,2.0,0.0,0.0,0.0,0.0,0.0
7790387013610,Yerba Mate con Palo 4Flex Taragui 1 Kg,Taragui,Almacén,Infusiones,Yerba mate,5,24,2298,5369.0,0.0,0.0,2.0,0.0,0.0,0.0
7793704000928,Yerba Suave Playadito 1 Kg,Playadito,Almacén,Infusiones,Yerba mate,5,24,2426,5072.4716796875,0.0,2.0,0.0,0.0,2.0,0.0
7790580132163,Mermelada Durazno Arcor 454 Gr,Arcor,Almacén,Mermeladas y Dulces,Mermelada,5,24,2467,3299.816650390625,1.0,1.0,0.0,0.0,1.0,0.0
7793360131516,Mermelada de Durazno Bc La Campagnola 390 Gr,La Campagnola,Almacén,Mermeladas y Dulces,Mermelada,5,24,2463,4160.0,0.0,0.0,2.0,0.0,0.0,0.0
7790158229547,Miel Squeezze Aleluya 250 Gr,Aleluya,Almacén,Mermeladas y Dulces,Miel,5,24,2214,5700.0,0.0,0.5,1.0,0.0,0.5,0.0
7798114470194,Budín de Pan con Ralladura de Limón Flanchello 180 Gr,Flanchello,Almacén,Panificados,Facturas/medialunas env.,5,24,1887,2544.84375,0.0,1.0,1.0,0.0,1.0,0.0
7790070433169,Pan Rallado Fortificado Preferido 500 Gr,Preferido,Almacén,Panificados,Pan rallado,5,24,2141,1972.15185546875,1.0,1.0,1.0,0.0,1.0,0.0
7793890258783,Pan con Salvado Lactal 560 Gr,Lactal,Almacén,Panificados,Pan lactal,4,23,2170,5841.0,0.0,0.0,4.0,0.0,0.0,0.0
7793890258769,Pan de Mesa Blanco Chico Lactal 315 Gr,Lactal,Almacén,Panificados,Pan lactal,4,23,2177,3600.0,1.0,3.0,0.0,0.0,2.0,0.0
7790070336545,Fideos Fetuccini Don Vicente 500 Gr,Don Vicente,Almacén,Pastas Secas,Fideos guiseros,5,24,2480,3789.28564453125,0.0,0.0,3.0,0.0,0.0,0.0
7790070336149,Fideos Mostachol N51 Lucchetti 500 Gr,Luchetti,Almacén,Pastas Secas,Fideos guiseros,5,24,2479,1744.642822265625,0.0,3.0,0.0,0.0,3.0,0.0
7790070336316,Fideos Tallarines N5 Matarazzo 500 Gr,Matarazzo,Almacén,Pastas Secas,Fideos largos,5,24,2478,2010.366088867188,0.0,3.0,3.0,0.0,3.0,0.0
7790070336118,Fideos Tallarín N5 Lucchetti 500 Gr,Luchetti,Almacén,Pastas Secas,Fideos guiseros,5,24,2481,1744.642822265625,3.0,0.0,0.0,0.0,0.0,0.0
7790070337085,Fideos al Huevo Tirabuzón Lucchetti 500 Gr,Lucchetti,Almacén,Pastas Secas,Fideos al huevo/nido,5,24,848,2200.0,0.0,1.0,2.0,0.0,1.0,0.0
7790310985465,Papas Fritas Clásicas Lays 134 Gr,Lays,Almacén,Snacks,Papas fritas snack,5,24,2454,5245.25,1.0,2.0,2.0,0.0,2.0,0.0
7794000008557,Caldo de Verdura Knorr 12 Un,Knorr,Almacén,Sopas Caldos y Puré,Caldo,5,24,2482,2637.30126953125,1.0,1.0,0.0,0.0,1.0,0.0
8445290993021,Puré de Papas Cremoso Original Maggi 125 Gr,Maggi,Almacén,Sopas Caldos y Puré,Pure de papa instantaneo,5,24,2477,2953.0,1.0,0.0,0.0,0.0,0.5,0.0
7794000005884,Sopa Crema de Zapallo con Nuez Moscada Knorr 70 Gr,Knorr,Almacén,Sopas Caldos y Puré,Sopa instantanea,5,24,2428,2745.0,1.0,0.0,0.0,0.0,0.5,0.0
7799155000203,Agua Mineral con Gas Pet Villavicencio 500 Ml,Villavicencio,Bebidas,Aguas,Agua con gas/soda,5,24,2355,1899.75,2.0,2.0,2.0,0.0,2.0,0.0
7799155000197,Agua Mineral sin Gas Pet Villavicencio 2 Lt,Villavicencio,Bebidas,Aguas,Agua sin gas,5,24,2495,3090.0,0.0,6.0,8.0,0.0,6.0,0.0
7792931000039,Agua Mineralizada sin Gas Glaciar 2 Lt,Glaciar,Bebidas,Aguas,Agua sin gas,5,24,2472,3239.4462890625,4.0,0.0,0.0,0.0,0.0,0.0
7790895640483,Agua Saborizada Manzana sin Gas Aquarius 1.5 Lt,Aquarius,Bebidas,Aguas,Agua saborizada,5,24,2577,3113.887451171875,0.0,4.0,4.0,0.0,3.0,0.0
7790950000160,Aperitivo Americano Gancia 950 Cc,Gancia,Bebidas,Aperitivos,Aperitivo,5,24,2301,9850.0,0.0,0.0,1.0,0.0,0.0,0.0
7790290001179,Fernet Branca 450 Cc,Branca,Bebidas,Aperitivos,Fernet,5,24,2487,12250.0,0.0,1.0,0.0,0.0,1.0,0.0
7790290101602,Fernet Branca 750 Ml,Branca,Bebidas,Aperitivos,Fernet,5,24,2482,18400.0,0.0,0.0,1.0,0.0,0.0,0.0
7791250001345,Vodka Smirnoff 750 Cc,Smirnoff,Bebidas,Bebidas Blancas y Licores,Whisky/gin/vodka,5,24,2452,12228.5712890625,0.0,0.0,1.0,0.0,0.0,0.0
7792798007387,Cerveza Rubia Cristal Quilmes 1 Lt,Quilmes,Bebidas,Cerveza,Cerveza,5,23,2328,4580.0,0.0,4.0,0.0,0.0,4.0,0.0
7793147118860,Cerveza Rubia en Lata Schneider 473 Cc,Schneider,Bebidas,Cerveza,Cerveza,5,24,2320,2610.0,4.0,0.0,0.0,0.0,0.0,0.0
