necesidad,canasta,ean,desc,marca,rubro,categoria,subcategoria,unidad_fisica,qty_fisica,presentacion,cantidad,precio_unitario,precio_envase,cadenas,provincias,sucursales,cba,confiable
Sal fina,Ejecutiva,7793433000497,Sal Fina Modificada 66% Menos de Sodio Genser 300 Gr,Genser,Almacén,Aderezos,Sal y Pimienta,kg,0.3,0.3,1.0,19100.0,5730.0,4,24,2347,Sal fina,True
Sal fina,Representativa,7790072002080,Sal Fina en Estuche Celusal 500 Gr,Celusal,Almacén,Aderezos,Sal y Pimienta,kg,0.37079999999999996,0.5,0.5,3605.6,1802.8,5,24,2498,Sal fina,True
Condimentos secos,Popular,7790150564844,Pimentón Dulce Sobre Alicante 25 Gr,Alicante,Almacén,Aderezos,Otros Condimentos,kg,0.06,0.025,2.5,41960.0,1049.0,5,24,1959,Condimentos,True
Condimentos secos,Media,7790150570180,Provenzal Alicante 25 Gr,Alicante,Almacén,Aderezos,Otros Condimentos,kg,0.08,0.025,3.0,55920.0,1398.0,5,24,1961,Condimentos,True
Condimentos secos,Ejecutiva,7790150540183,Orégano sin TACC Alicante 25 Gr,Alicante,Almacén,Aderezos,Otros Condimentos,kg,0.1,0.025,4.0,63320.0,1583.0,5,24,2434,Condimentos,True
Condimentos secos,Representativa,7790150465332,Comino Molido Sobre Alicante 25 Gr,Alicante,Almacén,Aderezos,Otros Condimentos,kg,0.07,0.025,3.0,48120.0,1203.0,5,24,1638,Condimentos,True
Caldo concentrado,Popular,7891000345528,Caldo de Verdura Maggi 114 Gr,Maggi,Almacén,Sopas Caldos y Puré,Caldos,kg,0.12,0.114,1.0,16798.2,1915.0,4,24,2336,Condimentos,True
Caldo concentrado,Media,7891000345528,Caldo de Verdura Maggi 114 Gr,Maggi,Almacén,Sopas Caldos y Puré,Caldos,kg,0.12,0.114,1.0,16798.2,1915.0,4,24,2336,Condimentos,True
Caldo concentrado,Ejecutiva,7891000345528,Caldo de Verdura Maggi 114 Gr,Maggi,Almacén,Sopas Caldos y Puré,Caldos,kg,0.1,0.114,1.0,16798.2,1915.0,4,24,2336,Condimentos,True
Caldo concentrado,Representativa,7891000345528,Caldo de Verdura Maggi 114 Gr,Maggi,Almacén,Sopas Caldos y Puré,Caldos,kg,0.12,0.114,1.0,16798.2,1915.0,4,24,2336,Condimentos,True
